Manufacturer,Product,Asset No,Serial No,Tags,Age (Years),All Calls,Open Calls,Lifetime Spend,Nominal Replacement Cost,Venue
Foster, FFC6-2 Double stacked refrigerator/freezer,105357,E6017826,Refrigeration Fridge/ Freezer,1,5,0,0.00,"3,388.12",Surrey
Foster, FFC6-2 Double stacked refrigerator/freezer,105351,E6017827,Refrigeration Fridge/ Freezer,1,2,0,259.42,"3,388.12",Surrey
Foster," FPS 3 HR-SA Refrigerated Counter, Pizza Prep Table",105375,E6008789,Refrigeration Refrigerated Counter,1,3,0,0.00,"4,582.25",Surrey
Foster, FPS 4 HR-SA Refrigerated counter with prep top,105361,E6018238,Refrigeration Refrigerated Counter,1,2,0,127.40,"2,000.00",Surrey
Foster," HR 150 Refrigerator, Undercounter",105359,E6019062,Refrigeration Refrigerated Counter,1,1,0,0.00,695.50,Surrey
Foster," HR 150 Refrigerator, Undercounter",107649,E6062630,Refrigeration Refrigerated Counter,0,1,0,0.00,695.50,Surrey
Foster, LR 150 Undercounter Freezer,105360,E6019063,Refrigeration Undercounter Freezer,1,3,0,0.00,718.92,Surrey
Foster, LR 150 Undercounter Freezer,114305,E6047629,Refrigeration Undercounter Freezer,0,1,0,0.00,"1,008.00",Surrey
Foster," PC150/7 Refridgerated, Countertop Pan Rail",105358,241102211,Refrigeration Refrigerated Counter,1,2,0,0.00,"1,115.86",Surrey
Foster," PC150/7 Refridgerated, Countertop Pan Rail",105355,238832203,Refrigeration Refrigerated Counter,1,4,0,0.00,"1,115.86",Surrey
Foster," XR600H Refrigerator, Upright (Reach-In)",63033,E5432884,Refrigeration Upright Fridge,7,3,0,0.00,"1,429.01",Surrey
Foster," XR600H Refrigerator, Upright (Reach-In)",62026,E5432883,Refrigeration Upright Fridge,7,2,0,0.00,"1,039.06",Surrey
Foster," XR600L Freezer, Upright (Reach-In)",62025,E5432885,Refrigeration Upright Freezer,7,6,0,187.17,"1,183.54",Surrey
Foster," XR600L Freezer, Upright (Reach-In)",63034,E5432886,Refrigeration Upright Freezer,7,8,0,288.76,"1,183.54",Surrey
Generic, 2 TIER GANTRY 2 Tier Gantry,105386,,Gantry,1,3,0,0.00,,Surrey
Generic, 2 TIER GANTRY 2 Tier Gantry,105387,,Gantry,1,2,0,0.00,,Surrey
Generic, 2 TIER GANTRY 2 Tier Gantry,105385,,Gantry,1,2,0,0.00,"5,000.00",Surrey
Generic, HOT CUPBOARD Hot Cupboard,55536,n,Holding Unit Static Hot Cupboard,5,2,0,0.00,,Surrey
Generic, HOT CUPBOARD Hot Cupboard,105362,,Holding Unit Static Hot Cupboard,1,3,1,0.00,,Surrey
Hatco, UGFFL Chip Scuttle,105364,9034892143,Prime Cooking Chip Scuttle,1,2,0,0.00,467.13,Surrey
Hatco, UGFFL Chip Scuttle,105365,9034902143,Prime Cooking Chip Scuttle,1,1,0,0.00,,Surrey
Hatco, UGFFL Chip Scuttle,105366,9034912143,Prime Cooking Chip Scuttle,1,1,0,0.00,,Surrey
Hoshizaki, IM-240NE-HC-23 Ice maker with bin,74610,E11263,Refrigeration Ice Machine,5,14,0,698.55,"3,667.74",Surrey
Hoshizaki, IM-240NE-HC-23 Ice maker with bin,114301,M21008M,Refrigeration Ice Machine,0,1,0,0.00,"4,208.32",Surrey
Hoshizaki," SCR-180DG-LRR-RRC-C1 U Refrigerated Counter, Work Top",105381,40017093,Refrigeration Refrigerated Counter,1,2,0,138.19,"1,665.96",Surrey
J & E Hall, CELLAR COOLER CELLER COOLER,114342,20653101,Refrigeration,4,2,0,0.00,,Surrey
Kinetico, Water Softener (Dishwasher Water Softener),114314,207028,,0,0,0,0.00,,Surrey
Lincat," BM4CW Ban Marie, Electric, Counter top",114317,30607522,Prime Cooking Cookline,0,0,0,0.00,440.28,Surrey
Maidaid, C525 WSD-DW Under Counter Dishwasher,114303,3094597,Warewashing Under Counter Dishwasher,1,1,0,0.00,"2,350.61",Surrey
Mechline UK," AJPR30-ST-BF2-S Pre rinse, Faucet Assembly, with add on faucet",114315,,Accessories Pre Rinse,0,0,0,0.00,233.38,Surrey
Meiko, M-ICLEAN HXL Dishwashing machine,114313,10554487,Warewashing Pass Through Dishwasher,0,1,0,0.00,"22,848.24",Surrey
Osborne, 160ES-SS Stainless steel solid door bottle cooler,105390,702642,Refrigeration Bottle Cooler,1,1,0,0.00,"1,050.00",Surrey
Osborne, GENERIC Bottle Cooler Bottle Cooler,82168,222179,Refrigeration Bottle Cooler,4,2,0,0.00,800.00,Surrey
Polar Refrigeration, BOTTLE COOLER BOTTLE COOLER,114308,CK150400537,Refrigeration Bottle Cooler,0,0,0,0.00,,Surrey
Rational, 60.75.142 Ultravent plus condensation hood,105373,ET1PA21105051398S,Prep,1,1,0,0.00,"3,242.85",Surrey
Rational, ICOMBI CLASSIC 10-1/1-E Combi oven electric 1/1,105374,E11MJ21082915454,Combi Oven,1,13,0,"1,843.75","6,132.44",Surrey
Regale, NE1853 Panasonic NE-1853 Commercial Microwave,90748,5A08250022,Microwave Basic Microwave,4,4,0,0.00,734.19,Surrey
Regale, NE1853BP MICROWAVE,114311,5C82240270,Microwave High Speed Microwave,0,0,0,0.00,732.00,Surrey
Regale, NE1853BP MICROWAVE,114312,MM51655,Microwave High Speed Microwave,0,0,0,0.00,,Surrey
RH Hall, 1500 MICROWAVE,55518,081231484,Microwave Basic Microwave,7,9,0,534.58,550.00,Surrey
Rivacold, WALK IN FRIDGE walk IN FRIDGE,87579,17393965,Refrigeration Walk In Fridge,4,6,0,0.00,"10,000.00",Surrey
Scandinavia, WALK IN FREEZER WALK IN FREEZER,105383,,Refrigeration Cold Room,1,14,1,0.00,"10,000.00",Surrey
Thermodyne, 700 NDNL Thermodyne Food Holding Unit,69179,14468,Holding Unit Thermodyne,5,4,0,0.00,"5,251.35",Surrey
Unspecified, GENERIC Extraction Extraction unit,,MAIN,Extraction/ Canopy,4,1,0,0.00,"8,000.00",Surrey
Unspecified, GENERIC PRE RINSE PRE RINSE,,n,Accessories Pre Rinse,0,0,0,0.00,500.00,Surrey
Uropa, GL007 Polar Back Bar Cooler,82167,CK180800450,Refrigeration Bottle Cooler,4,2,0,0.00,459.88,Surrey
Winterhalter, PT-ME-ENERGY PLUS DISHWASHER,71117,3058463,Warewashing,5,28,0,115.00,"4,500.00",Surrey
Winterhalter, UC-M (DISH) Winterhalter UCM,114304,3058219,Warewashing Under Counter Dishwasher,4,14,0,465.00,"3,503.51",Surrey
Winterhalter, UC-M (DISH) Winterhalter UCM,114302,3176134,Warewashing Under Counter Dishwasher,0,1,0,0.00,"4,305.48",Surrey
Zanotti, WALK IN FRIDGE WALK IN FRIDGE,55540,n,Refrigeration Walk In Fridge,7,12,0,781.68,,Surrey
, GENERIC DUCT CANOPY/DUCT,114331,,Extraction/ Canopy,0,0,0,0.00,,Chigwell
","," , (Heated Gantry)",,n,,0,2,0,0.00,,Chigwell
Angelo Po, 2N0GRG Angelo Po gas grill,88085,92896123501,Prime Cooking Grill,2,2,0,0.00,"3,516.22",Chigwell
Angelo Po, 60SME Electric salamander,114322,73079076101,Prime Cooking Salamander Grill,1,3,0,0.00,"1,726.95",Chigwell
Autonumis, A215128 BOTTLE COOLER REFRIGERATOR,88190,10,Refrigeration Bottle Cooler,4,3,0,0.00,800.00,Chigwell
Autonumis, FRIDGE Fridge,74626,0716RF00110,Refrigeration Upright Fridge,5,13,0,93.73,,Chigwell
Autonumis, RNC00001 Autonumis Popular Single Door Bottle Cooler,99167,0220,Refrigeration Bottle Cooler,3,5,0,77.73,552.97,Chigwell
Autonumis, RPC10001 Double door Sliding Bottle Cooler,99166,0220,Refrigeration Bottle Cooler,3,1,0,0.00,724.05,Chigwell
Autonumis, RPC10001 Double door Sliding Bottle Cooler,,0723,Refrigeration Bottle Cooler,0,1,1,0.00,510.90,Chigwell
Blizzard, - MICROWAVE,114326,,,3,0,0,0.00,,Chigwell
Blue Seal, GT18 Blue Seal GT18 Fryer,88371,1761633,Prime Cooking Fryer,1,3,0,0.00,"1,281.15",Chigwell
,,114508,0105708181501662,,0,1,0,0.00,,Chigwell
Bridge, 2 TIER GANTRY,56962,03257,Gantry,7,28,0,183.00,"4,000.00",Chigwell
Bridge, 2 TIER GANTRY,56960,03256,Gantry,7,19,0,350.36,"3,500.00",Chigwell
Chefmaster, Conveyor Toaster (Conveyor Toaster),114323,,,0,0,0,0.00,,Chigwell
Foster, EP1440H Fridge,74622,E5456624,Refrigeration Upright Fridge,5,4,0,223.89,"1,200.00",Chigwell
Foster, FFC3-1 Refrigerator/Freezer Multi Temp Flex Drawer,86158,E5502718,Refrigeration Multideck,4,11,0,453.33,"2,125.22",Chigwell
Foster, FFC3-1 Refrigerator/Freezer Multi Temp Flex Drawer,71251,E5502718,Refrigeration Multideck,5,4,0,86.25,"2,827.74",Chigwell
Foster, GENERIC FREEZER Freezer,114334,E6057301,Refrigeration,0,0,0,0.00,,Chigwell
Foster," HR 150 Refrigerator, Undercounter",114324,E6053155,Refrigeration Refrigerated Counter,0,1,0,0.00,997.31,Chigwell
Foster, LR 360 Two door under counter,114325,E6016137,Refrigeration Refrigerated Counter,1,6,0,0.00,"1,790.19",Chigwell
Foster, LR150SS/LHD U/C FREEZER,82832,E5528863,Refrigeration Undercounter Freezer,4,7,0,236.52,755.32,Chigwell
Foster, PC97/4 Counter top refrigerated prep well,56961,6193914,Refrigeration Refrigerated Counter,7,10,0,0.00,"1,067.77",Chigwell
Foster," XR2H Refridgerated Counter, Work Top",74616,E5437314,Refrigeration Refrigerated Counter,5,15,0,303.65,"1,356.99",Chigwell
Foster," XR600L Freezer, Upright (Reach-In)",74614,E5497448,Refrigeration Upright Freezer,5,12,0,104.62,"1,242.08",Chigwell
Generic, Cellar Cooling Cellar Cooling,114341,20602501,Refrigeration,3,13,0,520.54,"5,000.00",Chigwell
Generic, COLDROOM,71251,17103977,Refrigeration Cold Room,5,3,0,0.00,"10,000.00",Chigwell
Gram, 3DR UNDERCOUNTER FRIDGE UNDERCOUNTER FRIDGE,74618,10230340,Refrigeration Refrigerated Counter,5,10,0,116.85,"2,000.00",Chigwell
Hoshizaki, IM-240DNE-23 ICE MACHINE,74621,E01338,Refrigeration Ice Machine,6,30,0,761.16,"3,500.00",Chigwell
Interlevin, EM231S 2DR Bottle Cooler Sliding Doors,114332,2109080027,Refrigeration Bottle Cooler,0,1,0,0.00,560.00,Chigwell
Lincat, 2 RING HOB 2 RING HOB,56952,DETAILS,Prime Cooking Burner Range,7,5,0,141.24,,Chigwell
Maidaid, EVO 2135WS Pass through dishwasher,114330,4390899,Warewashing Under Counter Dishwasher,0,5,0,118.62,"5,221.94",Chigwell
Mechline UK, AJPR20-SS-BF0-S Pre rinse spray short arm,,n,Accessories Pre Rinse,5,2,0,0.00,196.28,Chigwell
Pitco, SG14TS Pitco SG14TS Twin Tank Fryer,82192,G18D070723,Prime Cooking,4,14,0,93.75,"2,679.11",Chigwell
Pitco, SG14TS Pitco SG14TS Twin Tank Fryer,92511,G19CA002491,Prime Cooking,4,11,0,58.07,"2,679.11",Chigwell
Polar Refrigeration, CD080 UNDERCOUNTER FRIDGE,74624,CD0806001609,Refrigeration Refrigerated Counter,5,13,0,689.23,"1,000.00",Chigwell
Polar Refrigeration, GL010-05 BOTTLE COOLER,,CK161100751,Refrigeration Bottle Cooler,1,11,1,346.50,650.00,Chigwell
Rational, 60.72.202 Condensation Hood,114329,5009036,Accessories,7,1,0,130.94,"3,813.32",Chigwell
Rational, SCCWE101 OVEN,114329,E11SH15052458325,Combi Oven,7,53,2,"1,039.85","7,500.00",Chigwell
Regale, R22AT R22AT Sharp Microwave,114328,200903849,Microwave Basic Microwave,0,0,0,0.00,758.67,Chigwell
Regale, R24AT Microwave Oven,114327,221236240,Microwave Basic Microwave,0,0,0,0.00,753.33,Chigwell
Scandinavia, E075H WALK IN CHILLER,71118,TXDML40,Refrigeration Walk In Fridge,5,22,0,601.95,"10,000.00",Chigwell
Scandinavia, E150L WALK IN FREEZER,71119,TXMDL55,Refrigeration Freezer Room,5,39,0,738.04,"10,000.00",Chigwell
Thermodyne, 700 NDNL Thermodyne Food Holding Unit,56959,14152,Holding Unit Thermodyne,7,16,0,141.22,"9,750.00",Chigwell
Unspecified, GENERIC FLY KILLER,56972,0710379732,Insect Killer,7,1,0,0.00,150.00,Chigwell
Williams, HTW15-SS Thermowell Refrigerated Preparation Well,93783,879026,Refrigeration Thermowell,3,9,0,0.00,879.65,Chigwell
Winterhalter," UC-L (DISH) UC Series Dishwasher, undercounter",95544,3102634,Warewashing Under Counter Dishwasher,3,14,0,343.85,"2,882.00",Chigwell
Winterhalter, UC-L (GLASS) UC-L Glasswaher,114333,3175458,Warewashing Glasswasher,0,3,1,170.13,"5,117.65",Chigwell
Adande, VCS1/HC/HS FRIDGE,61906,212074,Refrigeration,7,8,0,240.76,"2,500.00",Watford
Autonumis, RGC-01 Bottle Cooler,57483,0615JG31379,,7,7,1,233.48,850.00,Watford
Autonumis, RGC-01 Bottle Cooler,57482,0615JG31373,,7,8,0,277.88,850.00,Watford
Autonumis, RGC-01 Bottle Cooler,57469,JG,,7,6,0,136.19,800.00,Watford
Autonumis, RGC-01 Bottle Cooler,57470,0615JG31378,,7,7,0,889.48,850.00,Watford
Autonumis, RPC10001 Double door Sliding Bottle Cooler,99238,0220,Refrigeration Bottle Cooler,3,4,0,0.00,538.41,Watford
Autonumis, RPC10001 Double door Sliding Bottle Cooler,101858,02,Refrigeration Bottle Cooler,3,3,0,0.00,610.45,Watford
Bridge, 2 TIER GANTRY,57455,03258,Gantry,7,17,0,258.35,"4,000.00",Watford
Falcon, E3860 Twin basket electric fryer,114338,F602121,Prime Cooking Fryer,5,16,0,355.93,"3,785.71",Watford
Falcon," G94120 Charbroiler, Gas, Counter Unit",106012,F637834,Prime Cooking Chargrill,0,10,1,240.50,"4,597.40",Watford
Foster, FCF 505 504L Chest freezer,81001,52070575,Refrigeration Chest Freezer,4,3,0,0.00,"1,547.30",Watford
Foster, FCF 505 504L Chest freezer,114339,55170074,Refrigeration Chest Freezer,1,1,0,0.00,"1,426.84",Watford
Foster," FPS 2 HR-SS Refridgerated Counter Top, Pizza Prep Table",114509,E6043771,Refrigeration Refrigerated Counter,0,1,0,0.00,"4,973.81",Watford
Foster," FPS3HRG 3 DOOR COUNTER 3 door counter with night cover. 1 x set pan 5 x 1/3, 6 x1/6, 3 1/9",61902,E5427580,Refrigeration Refrigerated Counter,7,25,0,685.56,"2,659.55",Watford
Foster, HR150A Under Counter Freezer,91212,E5557585,Refrigeration Refrigerated Counter,3,5,0,159.97,800.00,Watford
Foster, LR 150 Undercounter Freezer,101859,E6012061,Refrigeration Undercounter Freezer,2,5,0,202.90,805.05,Watford
Foster," XR600L Freezer, Upright (Reach-In)",101855,E6008741,Refrigeration Upright Freezer,2,7,1,0.00,"1,258.00",Watford
Gram, K1407 COUNTER FRIDGE,87583,10284240,Refrigeration,4,5,0,352.21,"2,000.00",Watford
Hoshizaki, IM-240DNE-23 ICE MACHINE,74650,E11832,Refrigeration Ice Machine,7,31,0,"1,327.56","3,750.00",Watford
Hoshizaki, IM-240XNE-HC-23 Hoshizaki IM240XNE-HC-23 Cuber,101856,K11152L,Refrigeration Ice Machine,2,4,0,0.00,"2,854.21",Watford
J & E Hall, JCC2-60E CELLAR COOLING FANS,114343,,Accessories,1,3,0,0.00,,Watford
Lincat," AS3 Grill, Electric (Salamander)",105103,30386846,Prime Cooking Grill,1,4,0,0.00,"1,100.00",Watford
Lincat, EB3F Boiler EB3F,98441,30259200,Water Boiler Table Top Boiler,3,4,0,305.71,550.00,Watford
Maidaid, C525WS Glasswasher,114335,,Warewashing Glasswasher,0,0,0,0.00,,Watford
Mechline UK, AJPR10 Mechline AJPR10 Fully assembled AquaJet pre-rinse spray,57459,NOT,Accessories Pre Rinse,7,4,0,71.82,146.11,Watford
Middleby UK, SE14S-D Electric Fryer,100677,E20KD043985,Prime Cooking Fryer,1,4,0,234.00,,Watford
Middleby UK, SE14S-D Electric Fryer,100677,E20KD043985,Prime Cooking Fryer,0,0,0,0.00,,Watford
Misa, WALK IN CHILLER WALK IN CHILLER,101851,WALK,Refrigeration Walk In Fridge,7,37,0,347.85,"10,000.00",Watford
Misa, WALK IN CHILLER WALK IN CHILLER,101852,WALK,Refrigeration Walk In Fridge,7,18,0,775.57,,Watford
Pitco, SG14TS Pitco SG14TS Twin Tank Fryer,91211,G18LD070722,Prime Cooking,4,17,0,220.06,"2,001.27",Watford
Polar, Counter Salad (Countertop Salad Fridge),114340,,,0,0,0,0.00,,Watford
Precision Refrigeration, HSS300 FRIDGE COUNTER,74639,156435,Refrigeration Refrigerated Counter,5,11,1,230.63,"1,300.00",Watford
Precision Refrigeration, SINGLE BOTTLE COOLER,74636,157457,Refrigeration Bottle Cooler,5,6,0,0.00,"2,000.00",Watford
Precision Refrigeration, UC FREEZER UC Freezer,74637,157442,,5,4,0,0.00,,Watford
Rational, SCC WE 101 model SCCWE101,103088,E11SI17122634311,Combi Oven,1,9,2,103.30,"5,500.00",Watford
Regale, NE1853 Panasonic NE-1853 Commercial Microwave,101853,5A08250271,Microwave Basic Microwave,4,8,0,68.92,634.80,Watford
Regale, R22AT R22AT Sharp Microwave,86996,190603517,Microwave Basic Microwave,3,5,0,0.00,648.70,Watford
Regale, R24AT Microwave Oven,114336,220834351,Microwave Basic Microwave,0,1,0,0.00,753.33,Watford
Salva, TW9 SALAD FRIDGE,61905,743531,Refrigeration,7,8,0,99.50,"3,600.00",Watford
Sharp, R-22 MICROWAVE,114337,22030428,Microwave Basic Microwave,0,3,0,324.98,550.00,Watford
Unspecified, GENERIC CHEST FREEZER CHEST FREEZER,74634,NO,Refrigeration Chest Freezer,7,4,0,87.00,"1,000.00",Watford
Winterhalter, PT-M (DISHES) Passthrough Dishwasher,92232,3110673,Warewashing Pass Through Dishwasher,3,18,0,192.76,"8,398.22",Watford
Winterhalter, UC-M (GLASS) Undercounter glasswasher,93738,3091862,Warewashing Glasswasher,3,23,0,807.43,"4,500.00",Watford
